                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                0.78812,                 0.7576,                 1.1249,                0.67325,                0.58596,                0.61473,                0.45925,                 1.0329,                 1.2565,                 1.2924,             3.8027e-05,             3.8027e-05,             3.8027e-05
                    109,                 0.7947,                0.76507,                 1.1243,                0.71684,                0.56123,                0.61495,                0.46057,                 1.0292,                 1.2598,                 1.2892,             3.5527e-05,             3.5527e-05,             3.5527e-05
                    110,                0.78933,                0.76084,                 1.1293,                0.71082,                0.56263,                0.61846,                 0.4632,                 1.0282,                 1.2538,                 1.2884,             3.3027e-05,             3.3027e-05,             3.3027e-05
                    111,                0.74175,                  0.643,                 1.1005,                0.70743,                0.58495,                0.61846,                0.46145,                 1.0423,                 1.2465,                 1.2997,             3.0527e-05,             3.0527e-05,             3.0527e-05
                    112,                0.73099,                0.60197,                  1.096,                0.72851,                0.57101,                0.61839,                0.46125,                 1.0389,                 1.2385,                 1.2975,             2.8028e-05,             2.8028e-05,             2.8028e-05
                    113,                0.71577,                0.59969,                 1.0861,                0.73337,                0.56036,                 0.6177,                0.46066,                 1.0398,                  1.249,                 1.3014,             2.5528e-05,             2.5528e-05,             2.5528e-05
                    114,                0.71763,                0.59989,                 1.0876,                0.73025,                0.56909,                   0.62,                0.46422,                 1.0357,                 1.2458,                 1.2975,             2.3028e-05,             2.3028e-05,             2.3028e-05
                    115,                0.70914,                0.59154,                 1.0841,                0.70726,                0.57556,                0.62261,                0.46601,                 1.0338,                 1.2456,                 1.2979,             2.0528e-05,             2.0528e-05,             2.0528e-05
                    116,                0.70607,                0.57619,                 1.0844,                0.71168,                0.57862,                0.62288,                0.46634,                 1.0293,                 1.2473,                 1.2936,             1.8029e-05,             1.8029e-05,             1.8029e-05
                    117,                0.70127,                0.56807,                 1.0766,                0.70283,                0.58155,                0.62318,                0.46583,                 1.0271,                 1.2498,                 1.2941,             1.5529e-05,             1.5529e-05,             1.5529e-05
                    118,                0.70445,                0.57107,                 1.0799,                0.70045,                0.58412,                0.62235,                0.46532,                 1.0258,                 1.2521,                 1.2918,             1.3029e-05,             1.3029e-05,             1.3029e-05
                    119,                0.70076,                0.56629,                 1.0741,                0.70519,                0.58224,                0.62366,                0.46623,                 1.0276,                 1.2505,                 1.2942,             1.0529e-05,             1.0529e-05,             1.0529e-05
                    120,                0.70347,                0.57562,                 1.0778,                0.70073,                0.57985,                 0.6233,                0.46642,                 1.0279,                 1.2557,                 1.2942,             8.0295e-06,             8.0295e-06,             8.0295e-06
